Gene	exp_lof	lof_z	pLI
ENSG00000188976	28.8835117936	-0.0214707226193315	1.33038194561114e-19
ENSG00000187961	18.8324542665	1.33133551967544	2.51676266070248e-07
ENSG00000187583	21.149709801	1.32462257458813	2.01974835522321e-08
ENSG00000187634	20.0050310792	0.665532130408016	1.35381157129201e-10
ENSG00000078808	10.3871847509	1.34842470071676	0.0013098271899439
ENSG00000215915	14.8075851688	1.49500690038536	4.90849565539176e-05
ENSG00000127054	25.961471675	1.74222549203935	5.7881402380741e-09
ENSG00000162576	13.4969791188	2.02142543065804	0.00471297228153819
ENSG00000131584	23.6009806191	3.38499860704504	0.0394309302206711
ENSG00000197785	23.6499368527	3.39146404279135	0.0401305978810457
ENSG00000162572	18.5778597186	-0.556661452763036	2.82187066585139e-15
ENSG00000160072	23.2703654017	0.466212391638176	1.92301228016303e-13
ENSG00000008128	19.0956636842	2.06184836706672	5.23535259576534e-05
ENSG00000008130	18.7374222911	2.45716776402628	0.00126768961404905
ENSG00000157911	11.2771922665	1.85163176900673	0.010463632475946
ENSG00000116151	17.4531360785	1.29300217294249	7.87931445985798e-07
ENSG00000197530	26.3847898564	2.96691041321535	0.000158543294053226
ENSG00000149527	24.4568675246	1.69394302364399	1.70518647543863e-08
ENSG00000169598	11.1875146783	0.944006719921214	5.08618071063922e-05
ENSG00000130762	17.1216843914	0.98671376401004	9.36505312388017e-08
ENSG00000162591	54.0118370617	2.96689040392013	4.42421031130217e-15
ENSG00000162592	23.7771008369	-0.654722033338031	1.60569656764963e-19
ENSG00000116213	18.1426944452	2.82392956892187	0.0269219902261615
ENSG00000116198	38.385624519	3.09945393767245	2.63081806867216e-08
ENSG00000142606	37.6979389836	2.04863289153966	8.87673673427084e-13
ENSG00000162408	22.0965785426	2.97057760768966	0.0044702400177699
ENSG00000171680	31.5370305699	3.26978693053023	4.02821229083025e-05
ENSG00000187017	16.2221205173	2.26812328913441	0.00255384128821556
ENSG00000173662	16.6267417701	0.638121658637757	7.9136002871651e-09
ENSG00000131697	45.1249959786	1.78798017941689	1.29374352876183e-17
ENSG00000158286	21.7449795088	2.07009908826424	5.19011202351337e-06
ENSG00000162426	19.57454256	3.0392686163126	0.0451892558909179
ENSG00000131686	10.6115421617	1.70640707031981	0.00802362076493995
ENSG00000074800	15.5677000814	2.40206637125382	0.0103734127326719
ENSG00000116285	10.90577028	2.071446262659	0.046551582399882
